card,set,art_type,printing,price_usd,listing_title,source_page,source_url,verification,captured_date
Efrim Dawntreader,Into the Accordlands,Standard,,10.0,Efrim Dawntreader [Into the Accordlands],12,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=12,Direct collection listing,2026-08-01
Epic Betrayal,Into the Accordlands,Extended,,10.0,Epic Betrayal (Extended Art) [Into the Accordlands],10,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=10,Direct collection listing,2026-08-01
Epic Betrayal,Into the Accordlands,Standard,,10.0,Epic Betrayal [Into the Accordlands],2,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=2,Direct collection listing,2026-08-01
Epic Donnybrook,Into the Accordlands,Extended,,12.0,Epic Donnybrook (Extended Art) [Into the Accordlands],6,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=6,Direct collection listing,2026-08-01
Epic Donnybrook,Into the Accordlands,Standard,,12.0,Epic Donnybrook [Into the Accordlands],2,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=2,Direct collection listing,2026-08-01
Epic Evocation,Into the Accordlands,Extended,,10.0,Epic Evocation (Extended Art) [Into the Accordlands],10,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=10,Direct collection listing,2026-08-01
Epic Evocation,Into the Accordlands,Standard,,10.0,Epic Evocation [Into the Accordlands],3,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=3,Direct collection listing,2026-08-01
Epic Judgment,Into the Accordlands,Extended,,10.0,Epic Judgment (Extended Art) [Into the Accordlands],9,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=9,Direct collection listing,2026-08-01
Epic Judgment,Into the Accordlands,Standard,,10.0,Epic Judgment [Into the Accordlands],2,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=2,Direct collection listing,2026-08-01
Essence Drain,Into the Accordlands,Standard,,0.75,Essence Drain [Into the Accordlands],16,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=16,Direct collection listing,2026-08-01
Even the Odds,Into the Accordlands,Standard,,1.5,Even the Odds [Into the Accordlands],9,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=9,Direct collection listing,2026-08-01
Everwarm Elixir,Into the Accordlands,Standard,,0.35,Everwarm Elixir [Into the Accordlands],21,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=21,Direct collection listing,2026-08-01
Farhaven Guide,Into the Accordlands,Extended,,1.5,Farhaven Guide (Extended Art) [Into the Accordlands],10,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=10,Direct collection listing,2026-08-01
Farhaven Guide,Into the Accordlands,Standard,,1.5,Farhaven Guide [Into the Accordlands],6,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=6,Direct collection listing,2026-08-01
Fasolt,Box of Greed,Standard,,0.35,Fasolt [Box of Greed],19,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=19,Direct collection listing,2026-08-01
Fateshift,Into the Accordlands,Standard,,1.5,Fateshift [Into the Accordlands],1,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=1,Direct collection listing,2026-08-01
Fatestring Bow,Into the Accordlands,Standard,,0.75,Fatestring Bow [Into the Accordlands],3,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=3,Direct collection listing,2026-08-01
Fayed Dythanus,Box of Greed,Standard,,0.35,Fayed Dythanus [Box of Greed],6,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=6,Direct collection listing,2026-08-01
Feyd Rowan,Box of Greed,Standard,,0.35,Feyd Rowan [Box of Greed],16,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=16,Direct collection listing,2026-08-01
Field Marshal Malexin,Into the Accordlands,Standard,,30.0,Field Marshal Malexin [Into the Accordlands],2,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=2,Direct collection listing,2026-08-01
Figurine of Power,Box of Greed,Standard,,0.35,Figurine of Power [Box of Greed],7,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=7,Direct collection listing,2026-08-01
Figurine of Protection,Box of Greed,Standard,,0.35,Figurine of Protection [Box of Greed],6,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=6,Direct collection listing,2026-08-01
Figurine of Trickery,Box of Greed,Standard,,0.35,Figurine of Trickery [Box of Greed],8,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=8,Direct collection listing,2026-08-01
Figurine of Wonder,Box of Greed,Standard,,0.35,Figurine of Wonder [Box of Greed],8,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=8,Direct collection listing,2026-08-01
Final Blessing,Into the Accordlands,Standard,,0.75,Final Blessing [Into the Accordlands],5,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=5,Direct collection listing,2026-08-01
Final Farewell,Into the Accordlands,Standard,,0.75,Final Farewell [Into the Accordlands],6,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=6,Direct collection listing,2026-08-01
Fineltour's Draught,Into the Accordlands,Standard,,10.0,Fineltour's Draught [Into the Accordlands],2,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=2,Direct collection listing,2026-08-01
Fire Brand,Into the Accordlands,Standard,,0.75,Fire Brand [Into the Accordlands],20,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=20,Direct collection listing,2026-08-01
Fireball,Into the Accordlands,Extended,,0.75,Fireball (Extended Art) [Into the Accordlands],8,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=8,Direct collection listing,2026-08-01
Fireball,Into the Accordlands,Standard,,0.75,Fireball [Into the Accordlands],20,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=20,Direct collection listing,2026-08-01
FireReign Idol,Into the Accordlands,Standard,,0.75,FireReign Idol [Into the Accordlands],15,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=15,Direct collection listing,2026-08-01
Flail,Into the Accordlands,Standard,,0.75,Flail [Into the Accordlands],15,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=15,Direct collection listing,2026-08-01
Flame Jester,Into the Accordlands,Standard,,0.35,Flame Jester [Into the Accordlands],14,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=14,Direct collection listing,2026-08-01
Flamefall,Into the Accordlands,Extended,,1.65,Flamefall (Extended Art) [Into the Accordlands],7,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=7,Direct collection listing,2026-08-01
Flamefall,Into the Accordlands,Standard,,1.5,Flamefall [Into the Accordlands],4,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=4,Direct collection listing,2026-08-01
Flamelance,Into the Accordlands,Standard,,1.5,Flamelance [Into the Accordlands],1,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=1,Direct collection listing,2026-08-01
Flory's Monster Guide,Box of Greed,Standard,,0.35,Flory's Monster Guide [Box of Greed],10,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=10,Direct collection listing,2026-08-01
Flurry of Knives,Into the Accordlands,Extended,ITA-P11,6.56,Flurry of Knives (Extended Art) [Into the Accordlands],23 (reconciled),https://gamersguildazcards.com/products/flurry-of-knives-ita-p11,Catalog-reconciled; uniform Kickstarter promo price,2026-08-01
Flurry of Knives,Into the Accordlands,Standard,,0.75,Flurry of Knives [Into the Accordlands],14,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=14,Direct collection listing,2026-08-01
Frameseer,Into the Accordlands,Standard,,0.35,Frameseer [Into the Accordlands],19,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=19,Direct collection listing,2026-08-01
Freelance Cavalier,Into the Accordlands,Standard,,0.35,Freelance Cavalier [Into the Accordlands],22,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=22,Direct collection listing,2026-08-01
Frenzy,Into the Accordlands,Standard,,0.35,Frenzy [Into the Accordlands],15,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=15,Direct collection listing,2026-08-01
Gadgeteer Bilder,Into the Accordlands,Standard,,1.5,Gadgeteer Bilder [Into the Accordlands],3,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=3,Direct collection listing,2026-08-01
Gapfinder,Into the Accordlands,Standard,,0.35,Gapfinder [Into the Accordlands],13,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=13,Direct collection listing,2026-08-01
Genecourt Initiate,Into the Accordlands,Extended,ITA-P04,6.56,Genecourt Initiate (Extended Art) [Into the Accordlands],23 (reconciled),https://gamersguildazcards.com/products/genecourt-initiate-ita-p04,Catalog-reconciled; uniform Kickstarter promo price,2026-08-01
Genecourt Initiate,Into the Accordlands,Standard,,0.35,Genecourt Initiate [Into the Accordlands],11,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=11,Direct collection listing,2026-08-01
General Lund,Box of Greed,Standard,,0.35,General Lund [Box of Greed],18,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=18,Direct collection listing,2026-08-01
Getting's World Atlas,Box of Greed,Standard,,0.35,Getting's World Atlas [Box of Greed],10,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=10,Direct collection listing,2026-08-01
Ghed Bane,Into the Accordlands,Standard,,1.5,Ghed Bane [Into the Accordlands],1,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=1,Direct collection listing,2026-08-01
Ghed Daucet,Into the Accordlands,Extended,,1.0,Ghed Daucet (Extended Art) [Into the Accordlands],4,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=4,Direct collection listing,2026-08-01
Ghed Daucet,Into the Accordlands,Standard,,0.75,Ghed Daucet [Into the Accordlands],10,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=10,Direct collection listing,2026-08-01
Ghed Nuri,Box of Greed,Standard,,0.35,Ghed Nuri [Box of Greed],9,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=9,Direct collection listing,2026-08-01
Giant Toad,Box of Greed,Standard,,0.35,Giant Toad [Box of Greed],8,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=8,Direct collection listing,2026-08-01
Gift From Above,Into the Accordlands,Standard,,0.35,Gift From Above [Into the Accordlands],12,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=12,Direct collection listing,2026-08-01
Glaciate,Into the Accordlands,Standard,,1.5,Glaciate [Into the Accordlands],2,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=2,Direct collection listing,2026-08-01
Glimmer,Into the Accordlands,Standard,,0.35,Glimmer [Into the Accordlands],20,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=20,Direct collection listing,2026-08-01
Goldengrove Mage,Into the Accordlands,Standard,,0.35,Goldengrove Mage [Into the Accordlands],19,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=19,Direct collection listing,2026-08-01
"Gorthos, Shadow's Axe",Into the Accordlands,Extended,,0.75,"Gorthos, Shadow's Axe (Extended Art) [Into the Accordlands]",8,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=8,Direct collection listing,2026-08-01
"Gorthos, Shadow's Axe",Into the Accordlands,Standard,,0.75,"Gorthos, Shadow's Axe [Into the Accordlands]",21,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=21,Direct collection listing,2026-08-01
Graham Heyward,Into the Accordlands,Standard,,0.75,Graham Heyward [Into the Accordlands],4,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=4,Direct collection listing,2026-08-01
Grand Inventor Otto,Into the Accordlands,Extended,,10.0,Grand Inventor Otto (Extended Art) [Into the Accordlands],16,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=16,Direct collection listing,2026-08-01
Grand Inventor Otto,Into the Accordlands,Standard,,10.0,Grand Inventor Otto [Into the Accordlands],16,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=16,Direct collection listing,2026-08-01
Grave Exchange,Into the Accordlands,Extended,ITA-P12,6.56,Grave Exchange (Extended Art) [Into the Accordlands],23 (reconciled),https://gamersguildazcards.com/products/grave-exchange-ita-p12,Catalog-reconciled; uniform Kickstarter promo price,2026-08-01
Grave Exchange,Into the Accordlands,Standard,,1.5,Grave Exchange [Into the Accordlands],1,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=1,Direct collection listing,2026-08-01
Graveyard Librarian,Into the Accordlands,Extended,,0.35,Graveyard Librarian (Extended Art) [Into the Accordlands],4,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=4,Direct collection listing,2026-08-01
Graveyard Librarian,Into the Accordlands,Standard,,0.35,Graveyard Librarian [Into the Accordlands],12,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=12,Direct collection listing,2026-08-01
Greenflower Warden,Into the Accordlands,Extended,,0.75,Greenflower Warden (Extended Art) [Into the Accordlands],8,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=8,Direct collection listing,2026-08-01
Greenflower Warden,Into the Accordlands,Standard,,0.75,Greenflower Warden [Into the Accordlands],21,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=21,Direct collection listing,2026-08-01
Griffon of Andover,Into the Accordlands,Extended,ITA-P38,6.56,Griffon of Andover (Extended Art) [Into the Accordlands],22,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=22,Direct collection listing,2026-08-01
Griffon of Andover,Into the Accordlands,Standard,,2.0,Griffon of Andover [Into the Accordlands],1,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=1,Direct collection listing,2026-08-01
Grimfey Prowler,Into the Accordlands,Standard,,0.35,Grimfey Prowler [Into the Accordlands],18,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=18,Direct collection listing,2026-08-01
Grovewarden Elumera,Into the Accordlands,Standard,,0.35,Grovewarden Elumera [Into the Accordlands],22,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=22,Direct collection listing,2026-08-01
Guard Duty,Into the Accordlands,Standard,,0.35,Guard Duty [Into the Accordlands],20,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=20,Direct collection listing,2026-08-01
Gunda,Box of Greed,Standard,,0.35,Gunda [Box of Greed],7,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=7,Direct collection listing,2026-08-01
Hagunk,Into the Accordlands,Standard,,0.35,Hagunk [Into the Accordlands],17,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=17,Direct collection listing,2026-08-01
Havat-lahn Stance,Into the Accordlands,Extended,,1.22,Havat-lahn Stance (Extended Art) [Into the Accordlands],7,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=7,Direct collection listing,2026-08-01
Havat-lahn Stance,Into the Accordlands,Standard,,0.75,Havat-lahn Stance [Into the Accordlands],7,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=7,Direct collection listing,2026-08-01
Hazahk of Shadow,Into the Accordlands,Extended,ITA-P36,3.29,Hazahk of Shadow (Extended Art) [Into the Accordlands],22,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=22,Direct collection listing,2026-08-01
Hazahk of Shadow,Into the Accordlands,Standard,,0.35,Hazahk of Shadow [Into the Accordlands],12,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=12,Direct collection listing,2026-08-01
Heaven's Wrath,Box of Greed,Standard,,0.5,Heaven's Wrath [Box of Greed],4,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=4,Direct collection listing,2026-08-01
Heavy Charger,Box of Greed,Standard,,0.69,Heavy Charger [Box of Greed],6,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=6,Direct collection listing,2026-08-01
Heavy Crossbow,Into the Accordlands,Standard,,0.35,Heavy Crossbow [Into the Accordlands],20,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=20,Direct collection listing,2026-08-01
Heerman's Epic,Box of Greed,Standard,,0.35,Heerman's Epic [Box of Greed],10,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=10,Direct collection listing,2026-08-01
Heresy Huntress,Into the Accordlands,Standard,,0.35,Heresy Huntress [Into the Accordlands],19,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=19,Direct collection listing,2026-08-01
Heresy Ward,Into the Accordlands,Extended,,0.75,Heresy Ward (Extended Art) [Into the Accordlands],15,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=15,Direct collection listing,2026-08-01
Heresy Ward,Into the Accordlands,Standard,,0.75,Heresy Ward [Into the Accordlands],20,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=20,Direct collection listing,2026-08-01
Heroic Confrontation,Into the Accordlands,Extended,,2.26,Heroic Confrontation (Extended Art) [Into the Accordlands],8,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=8,Direct collection listing,2026-08-01
Heroic Confrontation,Into the Accordlands,Standard,,1.5,Heroic Confrontation [Into the Accordlands],3,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=3,Direct collection listing,2026-08-01
High Acolyte Hellene,Into the Accordlands,Extended,,1.5,High Acolyte Hellene (Extended Art) [Into the Accordlands],7,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=7,Direct collection listing,2026-08-01
High Acolyte Hellene,Into the Accordlands,Standard,,1.5,High Acolyte Hellene [Into the Accordlands],15,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=15,Direct collection listing,2026-08-01
Hinterlands Griffon,Into the Accordlands,Standard,,0.75,Hinterlands Griffon [Into the Accordlands],6,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=6,Direct collection listing,2026-08-01
Hod's Legacy,Into the Accordlands,Extended,,1.5,Hod's Legacy (Extended Art) [Into the Accordlands],9,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=9,Direct collection listing,2026-08-01
Hod's Legacy,Into the Accordlands,Standard,,1.5,Hod's Legacy [Into the Accordlands],9,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=9,Direct collection listing,2026-08-01
Holy Might,Into the Accordlands,Extended,ITA-P10,6.56,Holy Might (Extended Art) [Into the Accordlands],23 (reconciled),https://gamersguildazcards.com/products/holy-might-ita-p10,Catalog-reconciled; uniform Kickstarter promo price,2026-08-01
Holy Might,Into the Accordlands,Standard,,0.75,Holy Might [Into the Accordlands],9,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=9,Direct collection listing,2026-08-01
Hrun Instigator,Into the Accordlands,Standard,,0.35,Hrun Instigator [Into the Accordlands],17,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=17,Direct collection listing,2026-08-01
Huggins,Into the Accordlands,Extended,ITA-P07,6.56,Huggins (Extended Art) [Into the Accordlands],23 (reconciled),https://gamersguildazcards.com/products/huggins-ita-p07,Catalog-reconciled; uniform Kickstarter promo price,2026-08-01
Huggins,Into the Accordlands,Standard,,1.5,Huggins [Into the Accordlands],2,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=2,Direct collection listing,2026-08-01
Hunt From Above,Into the Accordlands,Extended,,1.5,Hunt From Above (Extended Art) [Into the Accordlands],11,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=11,Direct collection listing,2026-08-01
Hunt From Above,Into the Accordlands,Standard,,1.5,Hunt From Above [Into the Accordlands],6,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=6,Direct collection listing,2026-08-01
Hunter Merril,Into the Accordlands,Standard,,0.35,Hunter Merril [Into the Accordlands],22,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=22,Direct collection listing,2026-08-01
Hunting Staff,Into the Accordlands,Standard,,0.75,Hunting Staff [Into the Accordlands],8,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=8,Direct collection listing,2026-08-01
I Have Your Back,Into the Accordlands,Standard,,0.35,I Have Your Back [Into the Accordlands],18,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=18,Direct collection listing,2026-08-01
Icy Surge,Box of Greed,Standard,,0.35,Icy Surge [Box of Greed],10,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=10,Direct collection listing,2026-08-01
Improvised Weapon,Into the Accordlands,Standard,,0.35,Improvised Weapon [Into the Accordlands],21,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=21,Direct collection listing,2026-08-01
Incinerate,Box of Greed,Standard,,1.5,Incinerate [Box of Greed],5,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=5,Direct collection listing,2026-08-01
Invoke the Storm,Into the Accordlands,Standard,,1.5,Invoke the Storm [Into the Accordlands],1,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=1,Direct collection listing,2026-08-01
Isadran Kennelmaster,Into the Accordlands,Standard,,0.75,Isadran Kennelmaster [Into the Accordlands],7,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=7,Direct collection listing,2026-08-01
Ivaas,Box of Greed,Standard,,0.35,Ivaas [Box of Greed],11,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=11,Direct collection listing,2026-08-01
Jigoral,Into the Accordlands,Standard,,0.35,Jigoral [Into the Accordlands],17,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=17,Direct collection listing,2026-08-01
Joleg,Into the Accordlands,Standard,,0.35,Joleg [Into the Accordlands],14,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=14,Direct collection listing,2026-08-01
Jorn of the Summit,Box of Greed,Standard,,0.35,Jorn of the Summit [Box of Greed],22,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=22,Direct collection listing,2026-08-01
Journal Entry,Box of Greed,Standard,,0.5,Journal Entry [Box of Greed],5,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=5,Direct collection listing,2026-08-01
Jubilant Hatchling,Into the Accordlands,Standard,,0.75,Jubilant Hatchling [Into the Accordlands],6,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=6,Direct collection listing,2026-08-01
Jump,Into the Accordlands,Standard,,0.35,Jump [Into the Accordlands],19,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=19,Direct collection listing,2026-08-01
Justinian,Box of Greed,Standard,,0.35,Justinian [Box of Greed],9,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=9,Direct collection listing,2026-08-01
Kaballite Regalia,Into the Accordlands,Standard,,1.5,Kaballite Regalia [Into the Accordlands],3,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=3,Direct collection listing,2026-08-01
Kazkah,Into the Accordlands,Standard,,0.35,Kazkah [Into the Accordlands],22,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=22,Direct collection listing,2026-08-01
Keen Eared Sentry,Into the Accordlands,Standard,,0.35,Keen Eared Sentry [Into the Accordlands],12,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=12,Direct collection listing,2026-08-01
Keep Watch,Into the Accordlands,Standard,,0.35,Keep Watch [Into the Accordlands],17,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=17,Direct collection listing,2026-08-01
Kingslayer,Into the Accordlands,Extended,,4.5,Kingslayer (Extended Art) [Into the Accordlands],4,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=4,Direct collection listing,2026-08-01
Kingslayer,Into the Accordlands,Standard,,1.5,Kingslayer [Into the Accordlands],3,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=3,Direct collection listing,2026-08-01
Kor's Aegis,Into the Accordlands,Standard,,10.0,Kor's Aegis [Into the Accordlands],3,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=3,Direct collection listing,2026-08-01
Kor's Patience,Into the Accordlands,Standard,,0.75,Kor's Patience [Into the Accordlands],11,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=11,Direct collection listing,2026-08-01
Kothkah,Box of Greed,Standard,,0.75,Kothkah [Box of Greed],19,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=19,Direct collection listing,2026-08-01
Kraig'dem,Into the Accordlands,Standard,,0.35,Kraig'dem [Into the Accordlands],18,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=18,Direct collection listing,2026-08-01
Kurak Stonejaw,Into the Accordlands,Extended,,1.83,Kurak Stonejaw (Extended Art) [Into the Accordlands],8,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=8,Direct collection listing,2026-08-01
Kurak Stonejaw,Into the Accordlands,Standard,,1.5,Kurak Stonejaw [Into the Accordlands],14,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=14,Direct collection listing,2026-08-01
Lady Estelle,Into the Accordlands,Standard,,0.75,Lady Estelle [Into the Accordlands],15,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=15,Direct collection listing,2026-08-01
Lekar Osud,Box of Greed,Standard,,0.35,Lekar Osud [Box of Greed],20,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=20,Direct collection listing,2026-08-01
Leonora,Into the Accordlands,Standard,,0.35,Leonora [Into the Accordlands],14,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=14,Direct collection listing,2026-08-01
Leopard Claws,Into the Accordlands,Standard,,0.35,Leopard Claws [Into the Accordlands],14,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=14,Direct collection listing,2026-08-01
Leveled Up,Into the Accordlands,Standard,,0.35,Leveled Up [Into the Accordlands],19,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=19,Direct collection listing,2026-08-01
Leveled!,Into the Accordlands,Extended,ITA-P03,3.29,Leveled! (Extended Art) [Into the Accordlands],23 (reconciled),https://gamersguildazcards.com/products/leveled-ita-p03,Direct indexed product listing,2026-08-01
Leveled!,Into the Accordlands,Standard,,0.35,Leveled! [Into the Accordlands],6,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=6,Direct collection listing,2026-08-01
Librarian Shastra,Into the Accordlands,Extended,,10.0,Librarian Shastra (Extended Art) [Into the Accordlands],16,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=16,Direct collection listing,2026-08-01
Librarian Shastra,Into the Accordlands,Standard,,10.0,Librarian Shastra [Into the Accordlands],21,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=21,Direct collection listing,2026-08-01
Lightning Blast,Into the Accordlands,Standard,,0.35,Lightning Blast [Into the Accordlands],11,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=11,Direct collection listing,2026-08-01
Lights of Revealing Sword,Into the Accordlands,Extended,,2.5,Lights of Revealing Sword (Extended Art) [Into the Accordlands],6,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=6,Direct collection listing,2026-08-01
Lights of Revealing Sword,Into the Accordlands,Standard,,1.75,Lights of Revealing Sword [Into the Accordlands],1,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=1,Direct collection listing,2026-08-01
Limestone Gargoyle,Box of Greed,Standard,,0.35,Limestone Gargoyle [Box of Greed],15,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=15,Direct collection listing,2026-08-01
Lord Barrow,Into the Accordlands,Extended,,1.83,Lord Barrow (Extended Art) [Into the Accordlands],7,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=7,Direct collection listing,2026-08-01
Lord Barrow,Into the Accordlands,Standard,,1.5,Lord Barrow [Into the Accordlands],14,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=14,Direct collection listing,2026-08-01
Lord Belasco,Into the Accordlands,Extended,,0.75,Lord Belasco (Extended Art) [Into the Accordlands],4,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=4,Direct collection listing,2026-08-01
Lord Belasco,Into the Accordlands,Standard,,0.75,Lord Belasco [Into the Accordlands],20,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=20,Direct collection listing,2026-08-01
Lord's Assailant,Into the Accordlands,Standard,,0.75,Lord's Assailant [Into the Accordlands],7,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=7,Direct collection listing,2026-08-01
Loyalty's Reward,Box of Greed,Standard,,1.5,Loyalty's Reward [Box of Greed],5,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=5,Direct collection listing,2026-08-01
Luthlarius Regalia,Into the Accordlands,Standard,,1.5,Luthlarius Regalia [Into the Accordlands],2,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=2,Direct collection listing,2026-08-01
Magic Missiles,Into the Accordlands,Standard,,0.35,Magic Missiles [Into the Accordlands],10,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=10,Direct collection listing,2026-08-01
